order_token,order_time,customer_token,merchant_token,merchant_category,merchant_category_desc,payment_type,email_host,customer_age,order_amount,days_to_card_expire,customer_postcode,customer_region,default_flag
4C8KOX59GGC,2021-05-22 18:35:06.000000,FE64KMCT1YZI,FKDTI443S,5943,Other,card-prepaid,yahoo.it,45,47.39,1626,IT-561,Toscana,1
2232KPD6YVOA,2021-05-29 20:16:11.000000,12536DKMCTJGNY,1KEV9BVAD,5941,Sport,card-credit,live.fr,25,73.98,519,IT-430,Emilia-Romagna,1
C458KPQMVABY,2021-06-10 06:49:54.000000,11C6CAKMCTHY36,2KLMJ0Q14,5699,Fashion,card-prepaid,hotmail.com,33,49.75,813,IT-800,Campania,1
9DBKQAUQW1W,2021-06-27 13:57:39.000000,2EBKOU0BQX4,EKDTI444B,5999,Electronics,card-debit,gmail.com,26,209.9,1468,IT-421,Emilia-Romagna,1
E420KP2FKLU6,2021-05-26 07:05:35.000000,85E17DKMIYSCEC,8KLGIUTDY,5977,Beauty,card-prepaid,gmail.com,45,102.42,1499,IT-200,Lombardia,1
8232KODY8X3J,2021-05-09 05:40:16.000000,2B9KODY9AYC,1KEV9BVAD,5941,Sport,card-prepaid,gmail.com,51,482.99,1820,IT-830,Campania,1
AE1KPPQ56PN,2021-06-07 14:34:29.000000,BB674KMCT61RG,4KDTI444H,5691,Fashion,card-debit,gmail.com,29,33,1118,IT-001,Lazio,1
B264KO9S7J2A,2021-05-07 10:44:00.000000,A6313AKMYVXZBV,FKFSEJEE3,5977,Beauty,card-prepaid,gmail.com,27,41,850,IT-350,Veneto,1
79FKP9K5PMA,2021-05-31 11:31:52.000000,865CAKMCT4YWJ,AKDTI442N,5691,Fashion,card-prepaid,gmail.com,37,314,1403,IT-890,Calabria,1
952KPGNG00K,2021-06-01 07:08:07.000000,1AA92KMCT5RPD,5KDTI440I,5977,Beauty,card-prepaid,gmail.com,58,30.34,1916,IT-950,Sicilia,1
E232KOYD8EQJ,2021-05-22 16:26:52.000000,3B9KOYD8OLF,1KEV9BVAD,5941,Sport,card-prepaid,gmail.com,24,180.99,986,IT-100,Piemonte,1
5562KQ44RVOQ,2021-06-18 17:35:43.000000,314900KMCTDY1H,1KN0EF7HD,5691,Fashion,card-debit,gmail.com,30,42,1716,IT-200,Lombardia,1
92CBKOBGO3ON,2021-05-02 14:20:35.000000,66B883KNP3CDQR,BKHAMYQZ1,5999,Sport,card-prepaid,libero.it,33,24,453,IT-531,Toscana,1
774KOWY6SEK,2021-05-21 12:12:23.000000,C30AEKMCT3TJY,5KDTI441G,5712,Home & Garden,card-debit,gmail.com,31,91.9,1687,IT-830,Campania,1
